country,country_code,country_iso,prefix,voice_rate_in_usd,voice_unit_in_seconds
Bulgaria,359,BGR,35931129,0.00702,60
Bulgaria,359,BGR,3593115,0.0228,60
Bulgaria,359,BGR,35931158,0.00702,60
Bulgaria,359,BGR,35931159,0.00702,60
Bulgaria,359,BGR,35931169,0.00702,60
Bulgaria,359,BGR,3593118,0.0228,60
Bulgaria,359,BGR,359311889,0.00702,60
Bulgaria,359,BGR,35931189,0.00702,60
Bulgaria,359,BGR,35931238,0.0228,60
Bulgaria,359,BGR,35931239,0.00702,60
Bulgaria,359,BGR,35931259,0.00702,60
Bulgaria,359,BGR,35931269,0.00702,60
Bulgaria,359,BGR,35931289,0.00702,60
Bulgaria,359,BGR,359313389,0.00702,60
Bulgaria,359,BGR,35931339,0.00702,60
Bulgaria,359,BGR,3593134,0.0228,60
Bulgaria,359,BGR,35931342,0.00702,60
Bulgaria,359,BGR,35931349,0.00702,60
Bulgaria,359,BGR,359314017,0.00702,60
Bulgaria,359,BGR,35931439,0.0228,60
Bulgaria,359,BGR,35931459,0.0228,60
Bulgaria,359,BGR,35931469,0.00702,60
Bulgaria,359,BGR,35931479,0.00702,60
Bulgaria,359,BGR,359314892,0.00702,60
Bulgaria,359,BGR,35931499,0.00702,60
Bulgaria,359,BGR,35936318,0.0228,60
Bulgaria,359,BGR,35936319,0.0228,60
Bulgaria,359,BGR,359363289,0.00702,60
Bulgaria,359,BGR,35936329,0.00702,60
Bulgaria,359,BGR,35936349,0.00702,60
Bulgaria,359,BGR,35936419,0.0228,60
Bulgaria,359,BGR,359365189,0.00702,60
Bulgaria,359,BGR,35936519,0.00702,60
Bulgaria,359,BGR,359366179,0.00702,60
Bulgaria,359,BGR,35936619,0.00702,60
Bulgaria,359,BGR,35936798,0.0228,60
Bulgaria,359,BGR,359367989,0.00702,60
Bulgaria,359,BGR,35936799,0.0228,60
Bulgaria,359,BGR,35936919,0.00702,60
Bulgaria,359,BGR,35937208,0.0228,60
Bulgaria,359,BGR,359372089,0.00702,60
Bulgaria,359,BGR,35937209,0.00702,60
Bulgaria,359,BGR,359372189,0.00702,60
Bulgaria,359,BGR,35937219,0.00702,60
Bulgaria,359,BGR,359372289,0.00702,60
Bulgaria,359,BGR,35937229,0.00702,60
Bulgaria,359,BGR,359372589,0.00702,60
Bulgaria,359,BGR,35937259,0.00702,60
Bulgaria,359,BGR,3593739,0.00897,60
Bulgaria,359,BGR,35937390,0.0228,60
Bulgaria,359,BGR,35937399,0.0228,60
Bulgaria,359,BGR,35937519,0.00702,60
Bulgaria,359,BGR,35937739,0.00702,60
Bulgaria,359,BGR,35937819,0.0228,60
Bulgaria,359,BGR,3593799,0.0228,60
Bulgaria,359,BGR,359385,0.0228,60
Bulgaria,359,BGR,3593913,0.00702,60
Bulgaria,359,BGR,35939131,0.0228,60
Bulgaria,359,BGR,3593917,0.0228,60
Bulgaria,359,BGR,3593919,0.0228,60
Bulgaria,359,BGR,35939219,0.00702,60
Bulgaria,359,BGR,35939229,0.00702,60
Bulgaria,359,BGR,359410169,0.00702,60
Bulgaria,359,BGR,35941017,0.00702,60
Bulgaria,359,BGR,359413489,0.00702,60
Bulgaria,359,BGR,35941349,0.00702,60
Bulgaria,359,BGR,359413537,0.00702,60
Bulgaria,359,BGR,3594168,0.0228,60
Bulgaria,359,BGR,3594173,0.0228,60
Bulgaria,359,BGR,3594179,0.0228,60
Bulgaria,359,BGR,3594189,0.00702,60
Bulgaria,359,BGR,359429,0.0228,60
Bulgaria,359,BGR,359430,0.0087,60
Bulgaria,359,BGR,35943088,0.026,60
Bulgaria,359,BGR,35943089,0.03562,60
Bulgaria,359,BGR,3594315,0.0228,60
Bulgaria,359,BGR,3594319,0.0228,60
Bulgaria,359,BGR,359432189,0.00702,60
Bulgaria,359,BGR,35943219,0.00702,60
Bulgaria,359,BGR,35943269,0.00702,60
Bulgaria,359,BGR,359433089,0.00702,60
Bulgaria,359,BGR,35943309,0.00702,60
Bulgaria,359,BGR,359433189,0.00702,60
Bulgaria,359,BGR,35943319,0.00702,60
Bulgaria,359,BGR,35943389,0.00702,60
Bulgaria,359,BGR,35943559,0.00702,60
Bulgaria,359,BGR,35943618,0.00702,60
Bulgaria,359,BGR,35943619,0.0228,60
Bulgaria,359,BGR,359437,0.05161,60
Bulgaria,359,BGR,359438,0.05161,60
Bulgaria,359,BGR,359439,0.05161,60
Bulgaria,359,BGR,359445,0.0228,60
Bulgaria,359,BGR,35945119,0.00702,60
Bulgaria,359,BGR,3594539,0.0228,60
Bulgaria,359,BGR,3594549,0.00702,60
Bulgaria,359,BGR,3594575,0.0228,60
Bulgaria,359,BGR,3594579,0.0228,60
Bulgaria,359,BGR,359469,0.0228,60
Bulgaria,359,BGR,3594709,0.00702,60
Bulgaria,359,BGR,35947149,0.00702,60
Bulgaria,359,BGR,359474189,0.00702,60
Bulgaria,359,BGR,35947419,0.00702,60
Bulgaria,359,BGR,35947619,0.0228,60
Bulgaria,359,BGR,3594789,0.0228,60
Bulgaria,359,BGR,35948,0.05161,60
Bulgaria,359,BGR,359510689,0.00702,60
Bulgaria,359,BGR,35951069,0.00702,60
Bulgaria,359,BGR,35951129,0.0228,60
Bulgaria,359,BGR,35951149,0.00702,60
Bulgaria,359,BGR,35951318,0.0228,60
Bulgaria,359,BGR,359513189,0.00702,60
Bulgaria,359,BGR,35951319,0.00702,60
Bulgaria,359,BGR,35951349,0.00702,60
Bulgaria,359,BGR,35951427,0.0228,60
Bulgaria,359,BGR,35951439,0.00702,60
Bulgaria,359,BGR,359515346,0.00702,60
Bulgaria,359,BGR,35951535,0.0228,60
Bulgaria,359,BGR,359516189,0.00702,60
Bulgaria,359,BGR,35951619,0.00702,60
Bulgaria,359,BGR,3595179,0.0228,60
Bulgaria,359,BGR,3595185,0.0228,60
Bulgaria,359,BGR,3595195,0.0228,60
Bulgaria,359,BGR,359524,0.0228,60
Bulgaria,359,BGR,359529,0.0228,60
Bulgaria,359,BGR,35953279,0.0228,60
Bulgaria,359,BGR,359532889,0.00702,60
Bulgaria,359,BGR,35953289,0.0228,60
Bulgaria,359,BGR,359534189,0.00702,60
Bulgaria,359,BGR,35953419,0.00702,60
Bulgaria,359,BGR,359534389,0.00702,60
Bulgaria,359,BGR,35953439,0.00702,60
Bulgaria,359,BGR,35953518,0.0228,60
Bulgaria,359,BGR,359535189,0.00702,60
Bulgaria,359,BGR,35953519,0.00702,60
Bulgaria,359,BGR,359536189,0.00702,60
Bulgaria,359,BGR,35953619,0.0228,60
Bulgaria,359,BGR,3595379,0.0228,60
Bulgaria,359,BGR,3595389,0.0228,60
Bulgaria,359,BGR,3595391,0.0228,60
Bulgaria,359,BGR,359539189,0.00702,60
Bulgaria,359,BGR,35953919,0.00702,60
Bulgaria,359,BGR,359549,0.0228,60
Bulgaria,359,BGR,3595507,0.0228,60
Bulgaria,359,BGR,3595509,0.0228,60
Bulgaria,359,BGR,35955158,0.0228,60
Bulgaria,359,BGR,359551589,0.00702,60
Bulgaria,359,BGR,35955159,0.00702,60
Bulgaria,359,BGR,35955189,0.0228,60
Bulgaria,359,BGR,3595545,0.0228,60
Bulgaria,359,BGR,3595547,0.0228,60
Bulgaria,359,BGR,3595549,0.0228,60
Bulgaria,359,BGR,35955518,0.00702,60
Bulgaria,359,BGR,35955519,0.0228,60
Bulgaria,359,BGR,3595569,0.0228,60
Bulgaria,359,BGR,35955719,0.00702,60
Bulgaria,359,BGR,3595588,0.0228,60
Bulgaria,359,BGR,3595598,0.0228,60
Bulgaria,359,BGR,3595599,0.00702,60
Bulgaria,359,BGR,359569,0.58748,60
Bulgaria,359,BGR,35956934,6.5,60
Bulgaria,359,BGR,3595709,0.0228,60
Bulgaria,359,BGR,359573189,0.00702,60
Bulgaria,359,BGR,35957319,0.00702,60
Bulgaria,359,BGR,35957439,0.0228,60
Bulgaria,359,BGR,35957518,0.0228,60
Bulgaria,359,BGR,359575189,0.00702,60
Bulgaria,359,BGR,35957519,0.0228,60
Bulgaria,359,BGR,359577189,0.00702,60
Bulgaria,359,BGR,35957719,0.00702,60
Bulgaria,359,BGR,3595795,0.0228,60
Bulgaria,359,BGR,3595799,0.0228,60
Bulgaria,359,BGR,359585,0.0228,60
Bulgaria,359,BGR,3595909,0.0228,60
Bulgaria,359,BGR,359594459,0.00702,60
